Advertiser_ID,Advertiser_Name,total_spend,total_creatives,ca_ad_count,avg_ad_spend,avg_impressions,avg_cpi,avg_ad_duration,pct_video,pct_text,pct_image,avg_geo_targets,pct_age_targeted,pct_gender_targeted,avg_pct_target_young,avg_pct_target_middle,avg_pct_target_older,pct_female_only,pct_male_only,avg_ca_districts,has_district_targeting,weeks_active,spend_consistency,max_weekly_spend,pct_spend_in_peak_week,num_states,pct_spend_ca,geo_hhi,cluster_label,archetype,pca_x,pca_y,spend_per_creative
AR07164941821318004737,Chima for Congress,6100,8,7,892.8571428571429,44714.28571428572,0.04616769784837012,12.714285714285714,1.0,0.0,0.0,29.142857142857142,1.0,1.0,0.12380952380952381,0.43809523809523804,0.43809523809523804,0.0,0.0,0.14285714285714285,0.14285714285714285,9,0.7662139171990218,1800,0.2903225806451613,51.0,0.5225225225225225,0.27781835889943984,0,Targeted Persuader,-2.8308572669653262,0.24898388809321706,871.4285714285714
AR08745402649949503489,Giselle M Hale,25700,53,53,509.4339622641509,19962.264150943396,0.05943151065237636,6.773584905660377,0.20754716981132076,0.0,0.7924528301886793,37.283018867924525,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,6,0.34641278387634217,6700,0.2607003891050584,45.0,0.8731343283582089,0.7698819336155047,0,Targeted Persuader,-2.2363121699587856,-0.11719384652083631,484.9056603773585
AR16981059992591269889,COMMUNITIES UNITED FOR SABRINA CERVANTES FOR SENATE 2024,38300,2,2,20000.0,1750000.0,0.012299465240641712,16.5,1.0,0.0,0.0,54.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,4,0.7852311307228709,17300,0.4516971279373368,17.0,0.9598997493734336,0.9215080307284501,0,Targeted Persuader,-3.104558717427333,-1.7250955936349588,19150.0
AR15621574801842241537,California Environmental Voters Independent Expenditure Committee,15400,2,2,7500.0,637500.0,0.01548582995951417,11.5,1.0,0.0,0.0,87.0,1.0,1.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,3,0.8408541820545712,9800,0.6405228758169934,1.0,1.0,1.0,0,Targeted Persuader,-3.1806676184469618,-2.2265583393061186,7700.0
AR11549121772808830977,PAF,100,1,1,150.0,500.0,0.3,6.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,100,0.5,12.0,0.25,0.25,1,Hyper-Local Grassroots,3.259026435178752,-0.7997386103139723,100.0
AR15736052499372572673,BOXD MARKETING LLC,4500,8,1,50.0,500.0,0.1,1.0,0.0,1.0,0.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84,1.863504697143143,2300,0.2072072072072072,56.0,0.06060606060606061,0.02479338842975207,1,Hyper-Local Grassroots,2.8694358646219946,1.256235700762874,4500.0
AR14876132151870357505,CALIFORNIA REAL ESTATE INDEPENDENT EXPENDITURE COMMITTEE,2100,6,6,350.0,2333.3333333333335,0.17523809523809522,18.5,0.0,1.0,0.0,10.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0.721568539381252,800,0.36363636363636365,54.0,0.2753623188405797,0.08632640201638307,1,Hyper-Local Grassroots,3.0040399888590454,0.2990273440364659,350.0
AR16587059346626576385,"Traffik, LLC",46200,26,26,1819.2307692307693,331076.92307692306,0.010592242575238527,17.576923076923077,0.34615384615384615,0.038461538461538464,0.6153846153846154,2.0,0.11538461538461539,0.11538461538461539,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.0,0.0,0.0,0.0,15,0.9144424503444415,9500,0.20518358531317496,55.0,0.8297029702970297,0.6934104499558866,1,Hyper-Local Grassroots,1.0840375784168106,-0.01445901017664378,1776.923076923077
AR05579455674791755777,Cindy Chavez for Mayor 2022,34200,54,53,658.4905660377359,106849.05660377358,0.044697562224497216,13.90566037735849,0.7547169811320755,0.20754716981132076,0.03773584905660377,22.0,0.7735849056603774,0.7735849056603774,0.19874213836477989,0.28742138364779873,0.28742138364779873,0.0,0.0,3.4716981132075473,0.18867924528301888,25,1.285919540229885,5700,0.16379310344827586,54.0,0.8644501278772379,0.7476599446628428,0,Targeted Persuader,-1.8272703439822806,-0.36232827517995747,645.2830188679245
AR10741560512618692609,MELISSA MELENDEZ FOR SENATE 2020,2000,4,4,575.0,73000.0,0.012413273001508296,11.5,1.0,0.0,0.0,159.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,5,0.7905694150420949,900,0.45,1.0,0.9,0.8200000000000001,0,Targeted Persuader,-3.004563841604363,-1.518495229655958,500.0
